"fecha";"real";"pred"
2025-05-24;14382,3;13889,1373513514
2025-05-25;13087,9;13024,1018716909
2025-05-26;14998,3;13955,8615373807
2025-05-27;16138,1;15056,1634901663
2025-05-28;17460,2;17095,7873084069
2025-05-29;17985,2;18257,8278525869
2025-05-30;18005;17640,7689392835
2025-05-31;16377,1;15344,6554020882
2025-06-01;15491,2;15142,7273148547
2025-06-02;17135,9;15633,9177999088
2025-06-03;17102,2;16674,771243175
2025-06-04;16715;16211,8723897927
2025-06-05;16848,1;16598,8712194591
2025-06-06;16994,2;16344,9376514197
2025-06-07;15982,3;14714,6475835187
2025-06-08;15151;14726,3109154501
2025-06-09;17467;16255,2887906798
2025-06-10;17927,3;17275,5284221145
2025-06-11;17834,3;17243,0643322383
2025-06-12;17754,6;16670,1140376485
2025-06-13;17559,8;16771,473007255
2025-06-14;16684,6;15495,4141360461
2025-06-15;15613,4;16047,9426518085
2025-06-16;16465,5;14703,494649386
2025-06-17;17925;16958,1399799509
2025-06-18;18494,6;17575,6433463592
2025-06-19;18170,7;17651,7802151589
2025-06-20;16538,8;15744,0374110391
2025-06-21;16421,2;14689,7757739734
2025-06-22;16005,5;15113,424109517
2025-06-23;19983,5;18666,1673507147
2025-06-24;20131,6;19700,5249976384
2025-06-25;19626,2;18661,3226385299
2025-06-26;19502,4;19311,740478457
2025-06-27;19332,7;18883,8501291033
2025-06-28;18076,5;17198,4878103327
2025-06-29;18218,5;17547,0312005724
2025-06-30;21394,7;21215,1840677036
2025-07-01;22151,2;22462,6330052485
2025-07-02;21887,1;23177,1577318685
2025-07-03;21080,4;20282,90166946
2025-07-04;19671,1;18917,7588565713
2025-07-05;17391,7;16582,4729740134
2025-07-06;15815,1;15109,490093944
2025-07-07;16906,3;15439,127535092
2025-07-08;16969,5;16611,8780101156
2025-07-09;15145,4;14713,2734901662
2025-07-10;16803,1;15492,2815685616
2025-07-11;16924,1;16235,2464947311
2025-07-12;15601,6;14796,1375097192
2025-07-13;14438,5;13752,4938326489
2025-07-14;16496,1;15279,8555189661
2025-07-15;15931,5;15685,4005148735
2025-07-16;16788,6;15704,511442034
2025-07-17;18335,6;17782,7075976249
2025-07-18;18010,6;17683,1915645624
2025-07-19;16122,8;15197,6813010776
2025-07-20;14372,3;14157,6891421813
2025-07-21;15817,1;14731,9417885964
2025-07-22;17091,5;16172,2136925149
2025-07-23;18384,1;18093,5351266841
2025-07-24;18110,3;17627,1267568955
2025-07-25;17619,1;17195,8117831165
2025-07-26;16912,4;16028,6219663311
2025-07-27;16659;15575,9724940898
2025-07-28;18108,1;16570,4532326216
2025-07-29;18151;17809,7772925527
2025-07-30;17357,1;16821,6091339433
2025-07-31;16514,7;16266,6321358649
2025-08-01;15853;15713,6308431646
2025-08-02;14374,4;13737,3225476249
2025-08-03;13775,4;13352,4405200321
2025-08-04;16399,1;14930,4970256396
2025-08-05;17410,4;17288,654546264
2025-08-06;17127,5;16688,5129057897
2025-08-07;17585,4;17740,54900091
2025-08-08;17725,2;17693,5091123702
2025-08-09;16259;15988,4392744742
2025-08-10;14836,5;14743,9531911481
2025-08-11;16289,6;15095,3458516243
2025-08-12;15929,6;15580,6091884102
2025-08-13;16380,4;16036,5351649199
2025-08-14;17217,7;17488,4493816367
2025-08-15;17505;18465,1398764916
2025-08-16;16334,6;16009,179575517
2025-08-17;14506,2;14560,0694208944
2025-08-18;16299,7;14953,930656235
2025-08-19;16888,8;15691,1084448605
2025-08-20;16497,8;16050,090463598
2025-08-21;15874,3;15982,669565376
2025-08-22;15795,8;15384,6498782076
2025-08-23;15154,5;14407,8399915022
2025-08-24;14504,5;14000,516401236
2025-08-25;15691;14734,9959598434
2025-08-26;15357,7;15528,9738829217
2025-08-27;14976,9;15178,5144806335
2025-08-28;14723,3;14914,461129096
2025-08-29;14475,2;14744,6456535081
2025-08-30;13369,8;12959,4833495439
2025-08-31;13162,8;12401,1690657484
2025-09-01;15455,9;14290,2769563923
2025-09-02;16543,8;16221,8473378486
2025-09-03;16191,7;15912,6151457367
2025-09-04;16989,4;17328,631481868
2025-09-05;17446,4;17797,4949884946
2025-09-06;15820,8;16412,5689023438
2025-09-07;14367,2;14725,0322853913
2025-09-08;15658,8;14675,8713384451
2025-09-09;15370,9;15267,6534327497
2025-09-10;14832,6;15083,8564226363
2025-09-11;14751,8;14796,4040185817
2025-09-12;14660,3;14882,0775801281
2025-09-13;13616,6;13065,1421336419
2025-09-14;12481,1;12511,6235539996
2025-09-15;14321,7;13604,1910401197
2025-09-16;14768,6;14589,1232505991
2025-09-17;14900,2;14776,1446238676
2025-09-18;15080;14952,1122896177
2025-09-19;15325,6;14918,8393298572
2025-09-20;14164,4;13432,3389866337
2025-09-21;12980,2;13163,8715453496
2025-09-22;14339,7;13994,5752107935
2025-09-23;14597,2;14985,1595523111
2025-09-24;14866,8;15373,3704888939
2025-09-25;14924,9;15295,1007405501
2025-09-26;14601,4;14849,9000714904
2025-09-27;13369,5;13011,2566510425
2025-09-28;12356,6;12386,1116870224
2025-09-29;13964,1;13556,2708651662
2025-09-30;14233,1;14390,8539798868
2025-10-01;14177,6;14489,641172696
2025-10-02;14446,4;14516,2024667107
2025-10-03;14824,7;14880,9839860161
2025-10-04;14566,5;13929,8963854791
2025-10-05;13310;13003,1418975239
2025-10-06;14247,3;14494,2844690458
2025-10-07;14338,8;14563,006854676
2025-10-08;14183;14626,908986372
2025-10-09;14298,7;14722,9177880435
2025-10-10;13404,8;13252,3502146489
2025-10-11;13661,5;13061,1505213996
2025-10-12;12364,1;12518,310742197
2025-10-13;14098;13603,5677819376
2025-10-14;14610,7;14447,3836743318
2025-10-15;15216,6;15123,2563817484
2025-10-16;15702,6;15473,2125943359
2025-10-17;14941,1;15364,8866139414
2025-10-18;13138,9;13169,4751835326
2025-10-19;11881,3;12289,934746359
2025-10-20;14014,5;13340,3457886766
2025-10-21;14967;14907,6153034592
2025-10-22;15338,9;15253,6913772249
2025-10-23;16273,3;16535,4942957172
2025-10-24;15825,2;16264,3422509658
2025-10-25;13344,1;13670,1067662344
2025-10-26;12064;12431,0426446579
2025-10-27;14266,8;13587,4874063927
2025-10-28;14840,2;15232,0292480032
2025-10-29;14691,3;15260,1310657185
2025-10-30;14219,6;14726,9981653573
2025-10-31;14048,4;14523,6693397158
2025-11-01;13065,8;13145,6030848362
2025-11-02;12471;12400,543720347
2025-11-03;15125,2;14135,7542117567
2025-11-04;15355,8;14980,0704891195
2025-11-05;14767,5;15060,0957677935
2025-11-06;14410,7;15011,2067525319
2025-11-07;14196,1;14807,2196802036
2025-11-08;12981,8;12805,581471306
2025-11-09;12073;12177,5701862246
2025-11-10;14360;13522,9950956303
2025-11-11;15454;15202,501307191
2025-11-12;14941,6;15238,7310509449
2025-11-13;15061,6;15014,7657107214
2025-11-14;16019,6;15649,4480607692
2025-11-15;15938,1;15374,7937117963
2025-11-16;13047,6;14359,5749965777
2025-11-17;14067,4;13919,6528331693
2025-11-18;15294,9;15041,5155616262
2025-11-19;15914;15103,2305565092
2025-11-20;16320;15508,2237535928
2025-11-21;14856,6;13917,5630228752
2025-11-22;13693,8;13253,2711280915
2025-11-23;12704,8;12557,7264444173
2025-11-24;13552,3;12245,2716912418
2025-11-25;16489,7;14696,0061040114
2025-11-26;18184,1;16763,8795679759
2025-11-27;18809,2;18115,2595229625
2025-11-28;18306,3;17662,3980776131
2025-11-29;15339,8;14887,3625826054
2025-11-30;13503,3;13369,2998816148
2025-12-01;15030,6;14410,7707163565
2025-12-02;15960;15145,1536159008
2025-12-03;17569,2;17026,5375389231
2025-12-04;19266,8;18337,2163471573
2025-12-05;19966,6;19808,523638006
2025-12-06;18185,5;18353,6238444733
2025-12-07;14730,8;15195,2648818809
